cell,file,score_measures,meter,bars,type,bpm,ticks,seconds
1,canto_cell_001.mid,m1,10/16,1,repeated,75,1200,2.00
2,canto_cell_002.mid,m2,10/16,1,repeated,75,1200,2.00
3,canto_cell_003.mid,m3,10/16,1,repeated,75,1200,2.00
4,canto_cell_004.mid,m4,10/16,1,repeated,75,1200,2.00
5,canto_cell_005.mid,m5,10/16,1,repeated,75,1200,2.00
6,canto_cell_006.mid,m6,10/16,1,repeated,75,1200,2.00
7,canto_cell_007.mid,m7,10/16,1,single-pass,75,1200,2.00
8,canto_cell_008.mid,m8-9,10/16,2,repeated,75,2400,4.00
9,canto_cell_009.mid,m10-11,10/16,2,repeated,75,2400,4.00
10,canto_cell_010.mid,m12,10/16,1,single-pass,75,1200,2.00
11,canto_cell_011.mid,m13-14,10/16,2,repeated,75,2400,4.00
12,canto_cell_012.mid,m15,10/16,1,single-pass,75,1200,2.00
13,canto_cell_013.mid,m16-17,10/16,2,repeated,75,2400,4.00
14,canto_cell_014.mid,m18,10/16,1,single-pass,75,1200,2.00
15,canto_cell_015.mid,m19-20,10/16,2,repeated,75,2400,4.00
16,canto_cell_016.mid,m21,10/16,1,single-pass,75,1200,2.00
17,canto_cell_017.mid,m22-23,10/16,2,repeated,75,2400,4.00
18,canto_cell_018.mid,m24,10/16,1,single-pass,75,1200,2.00
19,canto_cell_019.mid,m25-26,10/16,2,repeated,75,2400,4.00
20,canto_cell_020.mid,m27,10/16,1,single-pass,75,1200,2.00
21,canto_cell_021.mid,m28-29,10/16,2,repeated,75,2400,4.00
22,canto_cell_022.mid,m30,15/16,1,single-pass,75,1800,3.00
23,canto_cell_023.mid,m31-32,10/16,2,repeated,75,2400,4.00
24,canto_cell_024.mid,m33-34,10/16,2,repeated,75,2400,4.00
25,canto_cell_025.mid,m35,10/16,1,single-pass,75,1200,2.00
26,canto_cell_026.mid,m36,10/16,1,single-pass,75,1200,2.00
27,canto_cell_027.mid,m37,10/16,1,single-pass,75,1200,2.00
28,canto_cell_028.mid,m38,10/16,1,single-pass,75,1200,2.00
29,canto_cell_029.mid,m39,10/16,1,single-pass,75,1200,2.00
30,canto_cell_030.mid,m40-41,10/16,2,repeated,75,2400,4.00
31,canto_cell_031.mid,m42,10/16,1,single-pass,75,1200,2.00
32,canto_cell_032.mid,m43,10/16,1,single-pass,75,1200,2.00
33,canto_cell_033.mid,m44,10/16,1,single-pass,75,1200,2.00
34,canto_cell_034.mid,m45,10/16,1,repeated,75,1200,2.00
35,canto_cell_035.mid,m46,10/16,1,single-pass,75,1200,2.00
36,canto_cell_036.mid,m47,10/16,1,single-pass,75,1200,2.00
37,canto_cell_037.mid,m48,10/16,1,single-pass,75,1200,2.00
38,canto_cell_038.mid,m49-50,10/16,2,repeated,75,2400,4.00
39,canto_cell_039.mid,m51-52,10/16,2,repeated,75,2400,4.00
40,canto_cell_040.mid,m53-54,10/16,2,repeated,75,2400,4.00
41,canto_cell_041.mid,m55-56,10/16,2,repeated,75,2400,4.00
42,canto_cell_042.mid,m57,10/16,1,single-pass,75,1200,2.00
43,canto_cell_043.mid,m58,10/16,1,single-pass,75,1200,2.00
44,canto_cell_044.mid,m59-66,10/16,8,repeated,75,9600,16.00
45,canto_cell_045.mid,m67,10/16,1,repeated,75,1200,2.00
46,canto_cell_046.mid,m68,10/16,1,repeated,75,1200,2.00
47,canto_cell_047.mid,m69,10/16,1,single-pass,75,1200,2.00
48,canto_cell_048.mid,m70,10/16,1,repeated,75,1200,2.00
49,canto_cell_049.mid,m71,10/16,1,repeated,75,1200,2.00
50,canto_cell_050.mid,m72,15/16,1,single-pass,75,1800,3.00
51,canto_cell_051.mid,m73,10/16,1,repeated,75,1200,2.00
52,canto_cell_052.mid,m74-75,10/16,2,repeated,75,2400,4.00
53,canto_cell_053.mid,m76,10/16,1,repeated,75,1200,2.00
54,canto_cell_054.mid,m77,10/16,1,repeated,75,1200,2.00
55,canto_cell_055.mid,m78,10/16,1,repeated,75,1200,2.00
56,canto_cell_056.mid,m79,10/16,1,repeated,75,1200,2.00
57,canto_cell_057.mid,m80,5/16,1,repeated,75,600,1.00
58,canto_cell_058.mid,m81,5/16,1,single-pass,75,600,1.00
59,canto_cell_059.mid,m82,5/16,1,single-pass,75,600,1.00
60,canto_cell_060.mid,m83,5/16,1,single-pass,75,600,1.00
